id,text,create_at,geo,retweet_count,like_count,hashtags,username,following,followers,user_total_tweets,user_likes_count
1.5915816017790935e+18,"Tom Brady and Gisele doing an ad for FTX.
Needs to be saved for posterity.

🔊sound ...🧐
#FTX #SBF #Crypto https://t.co/VebJtpu0sf",2022-11-12 23:59:58+00:00,Chicago,3389,0.0,#ftx,kmbrain,448.0,196.0,4023.0,8033.0
1.591581588529234e+18,Recap of #FTX saga. 👇 https://t.co/46Jc5rgVBL,2022-11-12 23:59:55+00:00,"Besançon, France",366,0.0,#ftx,66clement66,637.0,58.0,2348.0,12096.0
1.5915815730063933e+18,"These influencers who were shilling their #FTX &amp; #BlockFi referral links while gatekeeping strong #DeFi projects are the same ones calling for regulation now. Take some personal accountability for the role you played in the loss of your audiences capital.

#shameful https://t.co/hYBh5BdqHj",2022-11-12 23:59:51+00:00,"New York, USA",142,0.0,#ftx,NYCrypto_Invest,851.0,1184.0,7589.0,15483.0
1.591581538864726e+18,"Hey Gang 👬, 

As part of our Twitter🐦 company page release, we will be GIVING AWAY $400 USD worth of Ethereum (#Eth).

Rules:
🫂 Follow us
♻️ Retweet + 👍Like

We will be randomly picking the winner in 24 hours !⏰️

#crypto #giveaway #airdrop #ftx #NFT #ftx #btc    #Elon",2022-11-12 23:59:43+00:00,"Jawa Tengah, Indonesia",352,0.0,#ftx,86srgi,2594.0,93.0,5093.0,4001.0
1.5915815321412772e+18,"💸 $1,000 #Giveaway 💸

We'll select 10 winners randomly and award $100 to each account! 🤑🤑

Rules: 👇

1️⃣ Tag 2 friends
2️⃣ Must Like, Follow &amp; Retweet

Good luck 💚

#BTC #Crypto #Contest #Casino #xrp #Competition #cryptocurrency #FTX #NFT 

🔗 https://t.co/iOPgBrSIiZ https://t.co/AYtJvjRw1V",2022-11-12 23:59:42+00:00,Vietnam,8889,0.0,#ftx,dnasty2009,926.0,46.0,2040.0,1363.0
1.5915815314156708e+18,"Tom Brady and Gisele doing an ad for FTX.
Needs to be saved for posterity.

🔊sound ...🧐
#FTX #SBF #Crypto https://t.co/VebJtpu0sf",2022-11-12 23:59:41+00:00,Ohio,3389,0.0,#ftx,AngieToTheMoon,554.0,329.0,3869.0,44246.0
1.5915815287270932e+18,"We have all been asking for a few months ... What will be the Lehman or Bernie Madoff moment of this bubble?

While FTX is probably not systemic enough to be Lehman, it might be systemic for the crypto world.

But this definitely rises to the Madoff level.

#FTX #SBF_FTX #Crypto https://t.co/yKbri4uW9x",2022-11-12 23:59:41+00:00,Canada,227,0.0,#ftx,XRPDni1,415.0,2517.0,12443.0,3963.0
1.59158152258637e+18,"🚨Did Epstein's Island truly shut down, or did it just move? 

There's a lot of weird shit that is slowly coming out in the fallout of #FTX going bankrupt...

🧵",2022-11-12 23:59:39+00:00,בְּתוֹך,8657,0.0,#ftx,gematria100,151.0,23.0,208.0,278.0
1.5915815187530506e+18,"How #FTX used the flywheel scheme:

1️⃣  FTX printed FTT 
2️⃣  FTX lended FTT to its sister company, Alameda Research
3️⃣  Alameda borrowed USD stables against FTT
4️⃣  Alameda sent USD stables to FTX
🔁REPEAT

Guess who else follows this model to print $? The Federal Reserve",2022-11-12 23:59:38+00:00,Planet Earth...,110,0.0,#ftx,thealienmedia,394.0,404.0,2921.0,31909.0
1.5915814982470902e+18,"Clarifications: Every exchange presented their proof of reserve. However, how can one prove that their managed assets is 1:1 to their proof of reserve? 

Conduct Due Diligence. No accusations. 
The only solution to this ""Withdrawal Stress-Test"".
#FTX #BlockFi #CRO #KCS #Binance https://t.co/m3iNIzn5dG",2022-11-12 23:59:33+00:00,,4214,0.0,#ftx,pickcrypwinx,2425.0,52.0,21377.0,6446.0
