acc,precision,recall,f1,mse,fraction,thresholds
0.8565660156944409,0.35148141649293146,0.4912526033764541,0.34259893034606664,0.46835925615816515,"[0.85202021484623, 0.058377987149859055]","(0, 1)"
0.8554994032049166,0.3470761832739678,0.49313169153177316,0.3340266278553547,0.4620974174128332,"[0.85202021484623, 0.08366559158899865]","(0, 2)"
0.8550168880310841,0.3435569737501621,0.5777613721862996,0.3272726558635395,0.4525966812998872,"[0.85202021484623, 0.09799502247504889]","(0, 3)"
0.8550168880310841,0.3431166425205025,0.7294780600984025,0.32635775592015254,0.45186753836455734,"[0.85202021484623, 0.10731518399065444]","(0, 4)"
0.911217208014831,0.3422505937109186,0.5730154693791057,0.33524208899127833,0.4319319320306077,"[0.9103982019960891, 0.04893719684079539]","(1, 4)"
0.9108870660537878,0.3405435449596003,0.5453586953758548,0.3319321379164187,0.4346890473958991,"[0.9103982019960891, 0.05502577646849684]","(1, 5)"
0.9664017065799833,0.3372582076308785,0.9887994310822137,0.33541899770856337,0.4049633353030809,"[0.9654239784645859, 0.029541356629504533]","(5, 50)"
0.9802676689437997,0.33888888888888885,0.6600888888888888,0.3409406324551605,0.393049169301484,"[0.9800899001955456, 0.016875333316402976]","(10, 100)"
0.9969525357442162,0.3333333333333333,0.33231751191473874,0.332824647523124,0.36650518662647236,"[0.9969652335119485, 0.002450669172359499]","(100, 500)"
0.0,0.0,0.0,0.0,0.355832656149956,0,baseline
